p_median,p_lb95,p_ub95,p_lb68,p_ub68
1.24514542172807,1.18611763119058,1.30718225150257,1.21780038641681,1.27368876588673
1.24721144728046,1.11571121445451,1.39863818695692,1.18385915716594,1.31560717018423
1.26409840991888,1.07335336320963,1.50149389441075,1.16703173426196,1.37052625346801
1.31230125514109,1.08159724951286,1.60902611320942,1.19321056405631,1.44669328649101
1.4343972525836,1.15198061818549,1.80483336245292,1.28910656077092,1.60437574200781
1.61592265877256,1.28370168385968,2.05589277216378,1.4399381895253,1.82405024284756
1.86570611693872,1.47963101598586,2.38455568676266,1.65493885693796,2.10659332847563
2.25613529707493,1.79753914226233,2.88401888312231,1.99956244260075,2.54324806293339
2.53489899316183,2.03203730376833,3.22419977580024,2.25419127444269,2.84886546793306
2.71921864797116,2.20312679314706,3.44131984987602,2.43553642836349,3.04052379089201
2.82902077973613,2.31389943322636,3.46916231096616,2.54596347519892,3.14966236875188
2.99450873679926,2.53007052862067,3.6347214564834,2.76026252730019,3.28374404420455
3.19559764507933,2.75202969093227,3.94663891618424,2.91329861811429,3.57084546821598
3.74295704688807,3.22780092428093,4.45240033967599,3.47896874383127,4.07174596353281
4.26137312596287,3.59605921678411,5.00599643294232,3.91696878742773,4.62793973498912
4.95320028529763,4.13525983822549,6.13549683602437,4.52104261037418,5.43388335740249
6.06872919202469,5.06251388265893,7.79950847992025,5.51581667856136,6.73985955184837
6.17132501974076,5.13471063067447,8.06226186948812,5.61399295851335,6.90407903546332
6.15361027921569,5.16734216200689,7.8828607053175,5.63387092547395,6.82177066603368
6.16613817654331,5.20359862086652,7.73746932525494,5.66336367188137,6.81151139555072
6.20778987881462,5.24290569608274,7.66531396201573,5.71354750377271,6.80852026926733
5.9676180885612,5.0509402338409,7.28864812801491,5.50316582528732,6.52649307035819
5.53924166284951,4.7371852177395,6.60758305489053,5.12717642512862,5.99632203755557
5.37305302978879,4.59646249403583,6.33937126775975,4.98174516352308,5.80454167025614
5.14659525921041,4.39498873481664,6.01483096294622,4.77364937644028,5.54850561829321
4.77556220449863,4.09848761238734,5.54540460050604,4.42388282592052,5.13212770870603
4.39404744415752,3.78957775844459,5.05204419826285,4.07756403902702,4.69814238499545
4.17295521693385,3.61506069756421,4.762915464349,3.88573800932236,4.45529572569078
4.05068982174612,3.52512532617275,4.59737195585537,3.77769202401474,4.31634017184698
3.95969430943159,3.46627649691761,4.48970429573669,3.69704090812266,4.21676533144242
3.85081073432505,3.38246090563059,4.36406052146799,3.59303373111513,4.10181224874955
3.60094255224127,3.17830906805069,4.0781213933331,3.36969746205443,3.83748034348751
3.40143946146975,3.01817185095618,3.83329984520798,3.19255023060098,3.62237693568839
3.21307708162986,2.86736592943832,3.61977900901528,3.02516915085117,3.41547931192553
2.9991829849677,2.67808846891863,3.36872668598319,2.82395426847371,3.183219687709
2.66159993985305,2.37025495884921,2.9832721881489,2.51036037510053,2.81838355549338
2.27469989437284,2.00801209979996,2.55236597575933,2.13643148304663,2.41490276032679
2.10091783869773,1.85674922681615,2.36642988491646,1.97238044581253,2.23221708283604
1.92840220170946,1.71088923987812,2.16679353216746,1.81641366430672,2.04576069921372
1.74442402154442,1.5457581847629,1.96653479015688,1.64197014124089,1.85633882338523
1.52320100271277,1.34482550811743,1.72888393943682,1.43087853466153,1.6281772045296
1.36376368727302,1.200770292491,1.55381779286204,1.27917485758939,1.46344099809749
1.22361157713158,1.072403076069,1.40006357824755,1.14363690675725,1.31505251119637
1.17378265421593,1.01963561876135,1.35082421484874,1.09033140318407,1.26578753673596
1.10617738530118,0.945016081578704,1.282513165902,1.02218159104905,1.19674772313071
1.03293043148054,0.876238386176776,1.20685947861844,0.951371688876077,1.12437749958877
0.952176629579005,0.80351093452389,1.11938964290308,0.875673633394064,1.04030784415375
0.967705557274495,0.816860633629161,1.1431323522723,0.888496396296792,1.06035591214503
1.01844057885933,0.860010982923486,1.20247012346279,0.933866041856913,1.11743620539513
1.08029810068101,0.913621316827945,1.27651926973754,0.991051880132852,1.1848263281832
1.15290171034792,0.972111981998859,1.35746486445929,1.05890141333447,1.2622616953674
1.25078847007369,1.05881996307987,1.47097072061755,1.14966110741334,1.36857706383555
1.39483265143871,1.1816536255918,1.63519048686692,1.28086686065189,1.52322684316351
1.68440085697106,1.43783560637004,1.95346743894606,1.5490483959501,1.82340369170782
1.95253731830978,1.68863029328629,2.22941273569847,1.80817387014843,2.09243563110161
2.42132190981062,2.1454215859481,2.69271121257574,2.27678450761662,2.55810228049156
2.77009841790144,2.50889334250904,3.03390913751797,2.63861416283388,2.89622589926756
3.18991595087803,2.9423670945912,3.46159880048065,3.0608248933042,3.32171574456556
3.45499594579189,3.18778466576984,3.75869480795477,3.31953109187806,3.60267554539509
3.71431481678917,3.40993826960661,4.07644968951642,3.55883390771656,3.88682164276623
3.87770661411327,3.55719414708392,4.273523390007,3.71383948523033,4.06608446004381
4.19660177639384,3.82979299671412,4.63548040676973,4.00763262241309,4.40869114572172
4.67122744243064,4.22853652925759,5.18269134664541,4.44191019330911,4.92469173197542
4.72370323119594,4.26155577141139,5.26616757845984,4.48168174263554,5.00251871995549
4.62792143726493,4.18451554844877,5.14932724750027,4.3976938260892,4.89372067739066
4.4926325278218,4.0733402782354,4.9729456479657,4.27798651766638,4.73903192085933
4.38592771427999,3.98332883704253,4.83686263523332,4.18144947962693,4.61963711709351
4.37540151864343,3.96475519771968,4.82670941825879,4.16635155950967,4.6136773380249
4.32204155973619,3.9212590855349,4.76633788902957,4.11518183093295,4.55254277645094
4.38338011686558,3.95959709321317,4.85938281823027,4.16295882438291,4.62697481000746
4.32660810304297,3.89226887912684,4.80422429710384,4.09879624448609,4.56763804191629
4.08609469244907,3.64998417646984,4.52738192895754,3.86997105305654,4.30751307900599
3.91552857596023,3.52361938277082,4.31660086919877,3.71946061929794,4.11408243093527
3.89836151340887,3.50923349568685,4.32160380071881,3.70359461226204,4.09975621265793
3.75679846511836,3.38005057998143,4.15338712612433,3.56676572201888,3.94757811223182
3.46641189051096,3.13936525579724,3.81164401895655,3.29918535042454,3.63232560782231
3.25771287000632,2.96896510261651,3.56881725753485,3.1050293488141,3.4074389158808
3.01651441538772,2.76873840642137,3.28150418801138,2.88884641226056,3.14387167208084
2.90544985287415,2.67995360781271,3.15196194903056,2.79281295182339,3.02378250090854
2.74111815852982,2.5379499674545,2.97199721358253,2.63509166654644,2.85152912007207
2.5109956735953,2.32094038991543,2.72208477929509,2.4095506825895,2.61329077801198
2.26891734503965,2.09660169787657,2.45720517767536,2.17560205896407,2.36353266113196
2.06930726647363,1.90883399132927,2.24731767885379,1.98235426784178,2.15932346630104
1.95342599334562,1.79900828749337,2.12568159578681,1.87003910750343,2.04124149496618
1.78771539528303,1.63445979355419,1.95414749247744,1.70285811520036,1.87440559469062
1.69895900127549,1.54332419037889,1.86996367476486,1.61434802631963,1.78795830269736
1.54630511603296,1.38716598338938,1.72537993129517,1.4617812016935,1.63840704480071
1.4150602680041,1.25936408026251,1.59303546278614,1.33221736674402,1.50670626952691
1.19239944575599,1.05066867867046,1.35604472733995,1.11723953989654,1.27352922341472
1.01182351044867,0.887110574436361,1.16330864520435,0.945811293375891,1.08736964431231
0.923642718493156,0.804708031058455,1.07180496210203,0.857896436243927,0.996221152128809
0.935855810888077,0.810222397490274,1.09288154605749,0.866320123068696,1.01116052029047
0.975246091616995,0.835648436692044,1.15495081060584,0.897763841393448,1.05992619602996
0.970074987997548,0.819766159240258,1.17769384425733,0.886189888627782,1.06388439168745
0.993497344362821,0.82599814585397,1.23605062606469,0.901336540475158,1.10436338730199
1.07298269889843,0.879545638354872,1.34797660061801,0.966365816889394,1.19746556997566
1.22366737185004,1.00165262817423,1.51642330616209,1.10132742858807,1.35934615284236
1.41225009290854,1.16310332069552,1.70437268845344,1.2793611477545,1.55171181162611
1.71121673484883,1.43331755315769,2.01747935149325,1.56282919929381,1.85798746096323
2.16247012214816,1.87035695524136,2.48932107012046,2.00815941907692,2.31405746216485
2.75923406383994,2.45803447933452,3.14888570816317,2.59525055774311,2.92578939379524
3.1019448131067,2.79177540754815,3.49376660860661,2.9351745171754,3.28507393260979
3.34292794149468,3.01848883304721,3.7374226459275,3.17292568828993,3.53252535043176
3.60841170634722,3.25959037255792,4.03923977419122,3.42964507773476,3.81560894147461
3.85788232485528,3.47895282871033,4.31036952369809,3.66345854031644,4.07344632803275
4.02321081573977,3.61365573882375,4.4964439656803,3.81013308308172,4.25227490627448
4.19382374816754,3.74122001364014,4.6819545438529,3.96115444636303,4.44249227617256
4.34106743663045,3.85478882101267,4.85070881798467,4.08090689276705,4.60798159740349
4.30289341933781,3.79851896217262,4.84559580640615,4.0339861400111,4.58163372413847
4.39216722626015,3.90384769992656,4.9318179688565,4.13002336398981,4.66360300151418
4.58701752481019,4.08108293508937,5.1488191272955,4.32063444103763,4.87425086947459
4.82688869723925,4.29656011105201,5.43714546951118,4.54851442094892,5.14574669246625
