lon,lat,w_median,w_lb68,w_ub68,w_lb95,w_ub95
140.5,-18.5,0.131867,0.12527365,0.13846035,0.1186803,0.1450537
90.5,58.5,0.141043,0.13399085,0.14809515,0.1269387,0.1551473
117.5,52.5,0.142667,0.13553365,0.14980035,0.1284003,0.1569337
-80.5,-2.5,0.142795,0.13565525,0.14993475,0.1285155,0.1570745
-76.5,5.5,0.14358,0.136401,0.150759,0.129222,0.157938
-69.5,5.5,0.143655,0.13647225,0.15083775,0.1292895,0.1580205
20.5,2.5,0.149838,0.1423461,0.1573299,0.1348542,0.1648218
68.5,58.5,0.150784,0.1432448,0.1583232,0.1357056,0.1658624
-75.5,-1.5,0.151735,0.14414825,0.15932175,0.1365615,0.1669085
73.5,36.5,0.153586,0.1459067,0.1612653,0.1382274,0.1689446
71.5,57.5,0.163495,0.15532025,0.17166975,0.1471455,0.1798445
-104.5,55.5,0.164156,0.1559482,0.1723638,0.1477404,0.1805716
54.5,30.5,0.164511,0.15628545,0.17273655,0.1480599,0.1809621
72.5,48.5,0.165433,0.15716135,0.17370465,0.1488897,0.1819763
9.5,57.5,0.166831,0.15848945,0.17517255,0.1501479,0.1835141
59.5,59.5,0.167758,0.1593701,0.1761459,0.1509822,0.1845338
125.5,53.5,0.169301,0.16083595,0.17776605,0.1523709,0.1862311
-66.5,4.5,0.169444,0.1609718,0.1779162,0.1524996,0.1863884
-90.5,51.5,0.170142,0.1616349,0.1786491,0.1531278,0.1871562
61.5,39.5,0.176515,0.16768925,0.18534075,0.1588635,0.1941665
-67.5,-13.5,0.183205,0.17404475,0.19236525,0.1648845,0.2015255
-69.5,-29.5,0.184271,0.17505745,0.19348455,0.1658439,0.2026981
45.5,24.5,0.18928,0.179816,0.198744,0.170352,0.208208
27.5,26.5,0.191663,0.18207985,0.20124615,0.1724967,0.2108293
136.5,45.5,0.194634,0.1849023,0.2043657,0.1751706,0.2140974
89.5,59.5,0.196531,0.18670445,0.20635755,0.1768779,0.2161841
91.5,58.5,0.196851,0.18700845,0.20669355,0.1771659,0.2165361
148.5,-23.5,0.198286,0.1883717,0.2082003,0.1784574,0.2181146
96.5,44.5,0.198611,0.18868045,0.20854155,0.1787499,0.2184721
146.5,-22.5,0.19951,0.1895345,0.2094855,0.179559,0.219461
-115.5,55.5,0.201614,0.1915333,0.2116947,0.1814526,0.2217754
45.5,61.5,0.201946,0.1918487,0.2120433,0.1817514,0.2221406
-67.5,-35.5,0.205705,0.19541975,0.21599025,0.1851345,0.2262755
35.5,8.5,0.212977,0.20232815,0.22362585,0.1916793,0.2342747
74.5,14.5,0.214009,0.20330855,0.22470945,0.1926081,0.2354099
59.5,33.5,0.214644,0.2039118,0.2253762,0.1931796,0.2361084
42.5,35.5,0.225592,0.2143124,0.2368716,0.2030328,0.2481512
-78.5,-2.5,0.234619,0.22288805,0.24634995,0.2111571,0.2580809
-112.5,56.5,0.236753,0.22491535,0.24859065,0.2130777,0.2604283
33.5,-12.5,0.239549,0.22757155,0.25152645,0.2155941,0.2635039
19.5,-31.5,0.23963,0.2276485,0.2516115,0.215667,0.263593
-93.5,53.5,0.245485,0.23321075,0.25775925,0.2209365,0.2700335
-63.5,-22.5,0.245622,0.2333409,0.2579031,0.2210598,0.2701842
73.5,48.5,0.245668,0.2333846,0.2579514,0.2211012,0.2702348
19.5,2.5,0.246806,0.2344657,0.2591463,0.2221254,0.2714866
66.5,49.5,0.258644,0.2457118,0.2715762,0.2327796,0.2845084
98.5,57.5,0.25912,0.246164,0.272076,0.233208,0.285032
-74.5,10.5,0.25968,0.246696,0.272664,0.233712,0.285648
37.5,-12.5,0.262573,0.24944435,0.27570165,0.2363157,0.2888303
47.5,60.5,0.270784,0.2572448,0.2843232,0.2437056,0.2978624
100.5,6.5,0.270987,0.25743765,0.28453635,0.2438883,0.2980857
35.5,30.5,0.271395,0.25782525,0.28496475,0.2442555,0.2985345
64.5,59.5,0.27323,0.2595685,0.2868915,0.245907,0.300553
93.5,50.5,0.278176,0.2642672,0.2920848,0.2503584,0.3059936
-76.5,-5.5,0.280249,0.26623655,0.29426145,0.2522241,0.3082739
56.5,59.5,0.28085,0.2668075,0.2948925,0.252765,0.308935
-120.5,58.5,0.28433,0.2701135,0.2985465,0.255897,0.312763
-85.5,14.5,0.284554,0.2703263,0.2987817,0.2560986,0.3130094
106.5,51.5,0.285241,0.27097895,0.29950305,0.2567169,0.3137651
-60.5,-23.5,0.285609,0.27132855,0.29988945,0.2570481,0.3141699
-86.5,13.5,0.288021,0.27361995,0.30242205,0.2592189,0.3168231
91.5,47.5,0.294442,0.2797199,0.3091641,0.2649978,0.3238862
-68.5,-20.5,0.29964,0.284658,0.314622,0.269676,0.329604
13.5,-5.5,0.30002,0.285019,0.315021,0.270018,0.330022
23.5,0.5,0.300585,0.28555575,0.31561425,0.2705265,0.3306435
43.5,60.5,0.302226,0.2871147,0.3173373,0.2720034,0.3324486
15.5,-16.5,0.304063,0.28885985,0.31926615,0.2736567,0.3344693
29.5,-2.5,0.310472,0.2949484,0.3259956,0.2794248,0.3415192
2.5,13.5,0.322687,0.30655265,0.33882135,0.2904183,0.3549557
36.5,9.5,0.326771,0.31043245,0.34310955,0.2940939,0.3594481
97.5,57.5,0.336373,0.31955435,0.35319165,0.3027357,0.3700103
89.5,32.5,0.337747,0.32085965,0.35463435,0.3039723,0.3715217
47.5,35.5,0.338578,0.3216491,0.3555069,0.3047202,0.3724358
36.5,-12.5,0.339812,0.3228214,0.3568026,0.3058308,0.3737932
34.5,-14.5,0.340298,0.3232831,0.3573129,0.3062682,0.3743278
62.5,31.5,0.344425,0.32720375,0.36164625,0.3099825,0.3788675
22.5,-4.5,0.345647,0.32836465,0.36292935,0.3110823,0.3802117
-77.5,-12.5,0.350812,0.3332714,0.3683526,0.3157308,0.3858932
-80.5,46.5,0.361484,0.3434098,0.3795582,0.3253356,0.3976324
26.5,-4.5,0.363255,0.34509225,0.38141775,0.3269295,0.3995805
107.5,46.5,0.364356,0.3461382,0.3825738,0.3279204,0.4007916
-67.5,8.5,0.366938,0.3485911,0.3852849,0.3302442,0.4036318
80.5,37.5,0.375361,0.35659295,0.39412905,0.3378249,0.4128971
25.5,61.5,0.376639,0.35780705,0.39547095,0.3389751,0.4143029
84.5,49.5,0.382118,0.3630121,0.4012239,0.3439062,0.4203298
44.5,59.5,0.383918,0.3647221,0.4031139,0.3455262,0.4223098
12.5,13.5,0.405205,0.38494475,0.42546525,0.3646845,0.4457255
46.5,3.5,0.409812,0.3893214,0.4303026,0.3688308,0.4507932
-118.5,57.5,0.41986,0.398867,0.440853,0.377874,0.461846
42.5,57.5,0.439419,0.41744805,0.46138995,0.3954771,0.4833609
129.5,52.5,0.45492,0.432174,0.477666,0.409428,0.500412
20.5,-30.5,0.458816,0.4358752,0.4817568,0.4129344,0.5046976
14.5,60.5,0.459418,0.4364471,0.4823889,0.4134762,0.5053598
95.5,48.5,0.460193,0.43718335,0.48320265,0.4141737,0.5062123
42.5,-0.5,0.461267,0.43820365,0.48433035,0.4151403,0.5073937
44.5,-16.5,0.469025,0.44557375,0.49247625,0.4221225,0.5159275
122.5,-31.5,0.485988,0.4616886,0.5102874,0.4373892,0.5345868
86.5,30.5,0.486992,0.4626424,0.5113416,0.4382928,0.5356912
-69.5,-18.5,0.488534,0.4641073,0.5129607,0.4396806,0.5373874
139.5,-34.5,0.488896,0.4644512,0.5133408,0.4400064,0.5377856
-84.5,34.5,0.493093,0.46843835,0.51774765,0.4437837,0.5424023
-79.5,47.5,0.493529,0.46885255,0.51820545,0.4441761,0.5428819
-64.5,-22.5,0.505943,0.48064585,0.53124015,0.4553487,0.5565373
-79.5,-2.5,0.507455,0.48208225,0.53282775,0.4567095,0.5582005
90.5,47.5,0.512943,0.48729585,0.53859015,0.4616487,0.5642373
27.5,58.5,0.520055,0.49405225,0.54605775,0.4680495,0.5720605
63.5,57.5,0.523404,0.4972338,0.5495742,0.4710636,0.5757444
-65.5,-21.5,0.549519,0.52204305,0.57699495,0.4945671,0.6044709
47.5,49.5,0.551557,0.52397915,0.57913485,0.4964013,0.6067127
68.5,32.5,0.551647,0.52406465,0.57922935,0.4964823,0.6068117
-70.5,-17.5,0.554146,0.5264387,0.5818533,0.4987314,0.6095606
28.5,59.5,0.557408,0.5295376,0.5852784,0.5016672,0.6131488
137.5,-32.5,0.558088,0.5301836,0.5859924,0.5022792,0.6138968
79.5,17.5,0.55832,0.530404,0.586236,0.502488,0.614152
-111.5,33.5,0.561034,0.5329823,0.5890857,0.5049306,0.6171374
39.5,40.5,0.566358,0.5380401,0.5946759,0.5097222,0.6229938
-119.5,58.5,0.567853,0.53946035,0.59624565,0.5110677,0.6246383
-91.5,16.5,0.575798,0.5470081,0.6045879,0.5182182,0.6333778
53.5,56.5,0.579664,0.5506808,0.6086472,0.5216976,0.6376304
-74.5,49.5,0.585305,0.55603975,0.61457025,0.5267745,0.6438355
80.5,48.5,0.591341,0.56177395,0.62090805,0.5322069,0.6504751
-6.5,15.5,0.593011,0.56336045,0.62266155,0.5337099,0.6523121
175.5,-39.5,0.60197,0.5718715,0.6320685,0.541773,0.662167
-107.5,39.5,0.616658,0.5858251,0.6474909,0.5549922,0.6783238
98.5,16.5,0.617757,0.58686915,0.64864485,0.5559813,0.6795327
55.5,36.5,0.620251,0.58923845,0.65126355,0.5582259,0.6822761
78.5,13.5,0.624074,0.5928703,0.6552777,0.5616666,0.6864814
49.5,-16.5,0.637662,0.6057789,0.6695451,0.5738958,0.7014282
99.5,15.5,0.638427,0.60650565,0.67034835,0.5745843,0.7022697
-70.5,6.5,0.639485,0.60751075,0.67145925,0.5755365,0.7034335
34.5,10.5,0.642413,0.61029235,0.67453365,0.5781717,0.7066543
-66.5,-17.5,0.65284,0.620198,0.685482,0.587556,0.718124
-5.5,34.5,0.65521,0.6224495,0.6879705,0.589689,0.720731
43.5,38.5,0.658471,0.62554745,0.69139455,0.5926239,0.7243181
15.5,38.5,0.659834,0.6268423,0.6928257,0.5938506,0.7258174
112.5,42.5,0.659847,0.62685465,0.69283935,0.5938623,0.7258317
5.5,59.5,0.663371,0.63020245,0.69653955,0.5970339,0.7297081
70.5,37.5,0.665728,0.6324416,0.6990144,0.5991552,0.7323008
102.5,48.5,0.678443,0.64452085,0.71236515,0.6105987,0.7462873
93.5,38.5,0.681476,0.6474022,0.7155498,0.6133284,0.7496236
100.5,48.5,0.683168,0.6490096,0.7173264,0.6148512,0.7514848
-111.5,57.5,0.688594,0.6541643,0.7230237,0.6197346,0.7574534
-115.5,44.5,0.689673,0.65518935,0.72415665,0.6207057,0.7586403
28.5,-6.5,0.700328,0.6653116,0.7353444,0.6302952,0.7703608
35.5,57.5,0.700659,0.66562605,0.73569195,0.6305931,0.7707249
-77.5,-0.5,0.702154,0.6670463,0.7372617,0.6319386,0.7723694
37.5,58.5,0.706848,0.6715056,0.7421904,0.6361632,0.7775328
-104.5,22.5,0.713667,0.67798365,0.74935035,0.6423003,0.7850337
-110.5,37.5,0.715111,0.67935545,0.75086655,0.6435999,0.7866221
65.5,34.5,0.715654,0.6798713,0.7514367,0.6440886,0.7872194
67.5,34.5,0.715654,0.6798713,0.7514367,0.6440886,0.7872194
64.5,33.5,0.715814,0.6800233,0.7516047,0.6442326,0.7873954
63.5,32.5,0.71597,0.6801715,0.7517685,0.644373,0.787567
56.5,29.5,0.718219,0.68230805,0.75412995,0.6463971,0.7900409
-43.5,-12.5,0.725202,0.6889419,0.7614621,0.6526818,0.7977222
74.5,36.5,0.73795,0.7010525,0.7748475,0.664155,0.811745
