Lon,Lat,wheat
67.5,34.5,0.715654
64.5,33.5,0.715814
63.5,32.5,0.71597
56.5,29.5,0.718219
-43.5,-12.5,0.725202
74.5,36.5,0.73795
33.5,-23.5,0.756642
-49.5,-26.5,0.770531
-74.5,-11.5,0.771095
116.5,51.5,0.776376
38.5,58.5,0.779283
-73.5,42.5,0.786898
23.5,-22.5,0.788695
65.5,50.5,0.792537
-8.5,41.5,0.802676
40.5,57.5,0.802751
76.5,14.5,0.802864
147.5,-24.5,0.81066
16.5,9.5,0.814997
-2.5,57.5,0.826399
86.5,46.5,0.829484
-47.5,-22.5,0.831338
48.5,36.5,0.831675
75.5,32.5,0.832477
94.5,56.5,0.837723
30.5,1.5,0.848655
14.5,12.5,0.848987
69.5,41.5,0.85039
23.5,-33.5,0.851282
-92.5,46.5,0.852818
107.5,21.5,0.854305
34.5,59.5,0.858677
150.5,-25.5,0.86002
66.5,36.5,0.869334
44.5,37.5,0.869471
21.5,-32.5,0.872306
-88.5,14.5,0.875937
77.5,54.5,0.881085
-56.5,-33.5,0.890147
31.5,11.5,0.896486
122.5,52.5,0.900448
36.5,56.5,0.914169
-103.5,28.5,0.915344
129.5,41.5,0.931049
-53.5,-18.5,0.939264
83.5,37.5,0.941134
114.5,46.5,0.941595
82.5,54.5,0.94315
14.5,-21.5,0.946536
96.5,20.5,0.947798
37.5,9.5,0.9492
81.5,36.5,0.950827
18.5,-10.5,0.952113
35.5,-13.5,0.953699
11.5,12.5,0.955457
39.5,4.5,0.955844
70.5,50.5,0.96002
-72.5,-51.5,0.963854
34.5,32.5,0.966577
12.5,-16.5,0.971027
92.5,55.5,0.974521
-94.5,48.5,0.974657
118.5,37.5,0.974781
-84.5,45.5,0.974876
-108.5,27.5,0.977516
-93.5,31.5,0.977554
17.5,-11.5,0.987621
-50.5,-28.5,0.999348
36.5,40.5,0.999916
24.5,-6.5,1.001865
58.5,35.5,1.010705
97.5,26.5,1.018725
60.5,52.5,1.019072
-91.5,48.5,1.024889
111.5,23.5,1.028049
13.5,6.5,1.044345
81.5,48.5,1.048127
51.5,34.5,1.05516
84.5,36.5,1.057427
49.5,50.5,1.06122
61.5,54.5,1.066439
128.5,49.5,1.071482
